54,接骨草,Sambucus javanica,接骨草,Sambucus javanica,接骨草,Sambucus javanica
55,西洋接骨木,Sambucus nigra,西洋接骨木,Sambucus nigra,西洋接骨木,Sambucus nigra
56,<某种>,Sambucus nigra caerulea,None,None,None,None
57,<某种>,Sambucus racemosa,None,Sambucus racemosa,None,None
58,接骨木,Sambucus williamsii,接骨木,Sambucus williamsii,接骨木,Sambucus williamsii
59,<某种>,Viburnum acerifolium,槭叶荚蒾,Viburnum acerifolium,None,None
60,桦叶荚蒾,Viburnum betulifolium,桦叶荚蒾,Viburnum betulifolium,桦叶荚蒾,Viburnum betulifolium
61,金佛山荚蒾,Viburnum chinshanense,金佛山荚蒾,Viburnum chinshanense,金佛山荚蒾,Viburnum chinshanense
62,荚蒾,Viburnum dilatatum,荚蒾,Viburnum dilatatum,荚蒾,Viburnum dilatatum
63,直角荚蒾,Viburnum foetidum var. rectangulatum,直角荚蒾,Viburnum foetidum var. rectangulatum,直角荚蒾,Viburnum foetidum var. rectangulatum
64,南方荚蒾,Viburnum fordiae,南方荚蒾,Viburnum fordiae,南方荚蒾,Viburnum fordiae
65,<某种>,Viburnum lantanoides,None,Viburnum lantanoides,None,None
66,绣球荚蒾,Viburnum macrocephalum,绣球荚蒾,Viburnum macrocephalum,None,Viburnum macrocephalum
67,琼花,Viburnum macrocephalum f. keteleeri,琼花,Viburnum macrocephalum f. keteleeri,None,None
68,黑果荚蒾,Viburnum melanocarpum,黑果荚蒾,Viburnum melanocarpum,黑果荚蒾,Viburnum melanocarpum
69,珊瑚树,Viburnum odoratissimum,珊瑚树,Viburnum odoratissimum,珊瑚树,Viburnum odoratissimum
70,日本珊瑚树,Viburnum odoratissimum var. awabuki,日本珊瑚树,Viburnum odoratissimum var. awabuki,None,Viburnum odoratissimum var. awabuki
71,欧洲荚蒾,Viburnum opulus,欧洲荚蒾,Viburnum opulus,欧洲荚蒾,Viburnum opulus
72,鸡树条,Viburnum opulus subsp. calvescens,鸡树条,Viburnum opulus subsp. calvescens,鸡树条,Viburnum opulus subsp. calvescens
73,粉团,Viburnum plicatum,粉团,Viburnum plicatum,None,Viburnum plicatum
74,蝴蝶戏珠花,Viburnum plicatum f. tomentosum,蝴蝶戏珠花,Viburnum plicatum f. tomentosum,None,None
75,梨叶荚蒾,Viburnum prunifolium,梨叶荚蒾,Viburnum prunifolium,None,None
76,茶荚蒾,Viburnum setigerum,茶荚蒾,Viburnum setigerum,茶荚蒾,Viburnum setigerum
77,地中海荚蒾,Viburnum tinus,地中海荚蒾,Viburnum tinus,None,None
78,亚麻&宿根亚麻,Linum usitatissimum&perenne,None,None,None,None
79,石海椒,Reinwardtia indica,石海椒,Reinwardtia indica,石海椒,Reinwardtia indica
