Pteridaceae,凤尾蕨科
Pteridryaceae,牙蕨科
Rhachidosoraceae,轴果蕨科
Salviniaceae,槐叶蘋科
Schizaeaceae,莎草蕨科
Tectariaceae,三叉蕨科
Thelypteridaceae,金星蕨科
Woodsiaceae,岩蕨科
Araucariaceae,南洋杉科
Cupressaceae,柏科
Cycadaceae,苏铁科
Ephedraceae,麻黄科
Ginkgoaceae,银杏科
Gnetaceae,买麻藤科
Pinaceae,松科
Podocarpaceae,罗汉松科
Sciadopityaceae,金松科
Taxaceae,红豆杉科
Acanthaceae,爵床科
Achariaceae,青钟麻科
Acoraceae,菖蒲科
Actinidiaceae,猕猴桃科
Adoxaceae,五福花科
Aizoaceae,番杏科
Akaniaceae,叠珠树科
Alismataceae,泽泻科
Altingiaceae,蕈树科
Amaranthaceae,苋科
Amaryllidaceae,石蒜科
Anacardiaceae,漆树科
Ancistrocladaceae,钩枝藤科
Annonaceae,番荔枝科
Apiaceae,伞形科
Apocynaceae,夹竹桃科
Aponogetonaceae,水蕹科
Aptandraceae,兜帽果科
Aquifoliaceae,冬青科
Araceae,天南星科
Araliaceae,五加科
Arecaceae,棕榈科
Aristolochiaceae,马兜铃科
Asparagaceae,天门冬科
Asphodelaceae,阿福花科
Asteraceae,菊科
Balanophoraceae,蛇菰科
Balsaminaceae,凤仙花科
Basellaceae,落葵科
Begoniaceae,秋海棠科
Berberidaceae,小檗科
Betulaceae,桦木科
Biebersteiniaceae,熏倒牛科
Bignoniaceae,紫葳科
Bixaceae,红木科
Boraginaceae,紫草科
Brassicaceae,十字花科
Bromeliaceae,凤梨科
Burmanniaceae,水玉簪科
Burseraceae,橄榄科
Butomaceae,花蔺科
Buxaceae,黄杨科
Cabombaceae,莼菜科
Cactaceae,仙人掌科
Calophyllaceae,红厚壳科
Calycanthaceae,蜡梅科
Campanulaceae,桔梗科
Cannabaceae,大麻科
Cannaceae,美人蕉科
Capparaceae,山柑科
Caprifoliaceae,忍冬科
Cardiopteridaceae,心翼果科
Caricaceae,番木瓜科
Carlemanniaceae,香茜科
Caryophyllaceae,石竹科
Casuarinaceae,木麻黄科
Celastraceae,卫矛科
Centroplacaceae,安神木科
Ceratophyllaceae,金鱼藻科
Cercidiphyllaceae,连香树科
Chloranthaceae,金粟兰科
Circaeasteraceae,星叶草科
Cistaceae,半日花科
Cleomaceae,白花菜科
Clethraceae,桤叶树科
Clusiaceae,藤黄科
Colchicaceae,秋水仙科
Combretaceae,使君子科
Commelinaceae,鸭跖草科
Connaraceae,牛栓藤科
Convolvulaceae,旋花科
Coriariaceae,马桑科
Cornaceae,山茱萸科
Corsiaceae,白玉簪科
Costaceae,闭鞘姜科
Crassulaceae,景天科
Crypteroniaceae,隐翼木科
Cucurbitaceae,葫芦科
Cymodoceaceae,丝粉藻科
Cynomoriaceae,锁阳科
Cyperaceae,莎草科
Daphniphyllaceae,虎皮楠科
Diapensiaceae,岩梅科
Dichapetalaceae,毒鼠子科
Dilleniaceae,五桠果科
Dioscoreaceae,薯蓣科
Dipentodontaceae,十齿花科
Dipterocarpaceae,龙脑香科
Droseraceae,茅膏菜科
Ebenaceae,柿科
Elaeagnaceae,胡颓子科
Elaeocarpaceae,杜英科
Elatinaceae,沟繁缕科
Ericaceae,杜鹃花科
Eriocaulaceae,谷精草科
Erythropalaceae,赤苍藤科
Erythroxylaceae,古柯科
Escalloniaceae,南鼠刺科
Eucommiaceae,杜仲科
Euphorbiaceae,大戟科
Eupteleaceae,领春木科
Fabaceae,豆科
Fagaceae,壳斗科
Flagellariaceae,须叶藤科
Frankeniaceae,瓣鳞花科
Garryaceae,丝缨花科
Gelsemiaceae,钩吻科
Gentianaceae,龙胆科
Geraniaceae,牻牛儿苗科
Gesneriaceae,苦苣苔科
Gisekiaceae,针晶粟草科
Goodeniaceae,草海桐科
Grossulariaceae,茶藨子科
Haloragaceae,小二仙草科
Hamamelidaceae,金缕梅科
Helwingiaceae,青荚叶科
Hernandiaceae,莲叶桐科
Hydrangeaceae,绣球科
Hydrocharitaceae,水鳖科
Hydroleaceae,田基麻科
Hypericaceae,金丝桃科
Hypoxidaceae,仙茅科
Icacinaceae,茶茱萸科
Iridaceae,鸢尾科
Iteaceae,鼠刺科
Ixioliriaceae,鸢尾蒜科
Ixonanthaceae,黏木科
Juglandaceae,胡桃科
Juncaceae,灯芯草科
Juncaginaceae,水麦冬科
Lamiaceae,唇形科
Lardizabalaceae,木通科
Lauraceae,樟科
Lecythidaceae,玉蕊科
Lentibulariaceae,狸藻科
Liliaceae,百合科
Linaceae,亚麻科
Linderniaceae,母草科
Loganiaceae,马钱科
Loranthaceae,桑寄生科
Lowiaceae,兰花蕉科
Lythraceae,千屈菜科
Magnoliaceae,木兰科
Malpighiaceae,金虎尾科
Malvaceae,锦葵科
Marantaceae,竹芋科
Martyniaceae,角胡麻科
Mayacaceae,花水藓科
Mazaceae,通泉草科
Melanthiaceae,藜芦科
Melastomataceae,野牡丹科
Meliaceae,楝科
Menispermaceae,防己科
Menyanthaceae,睡菜科
Metteniusaceae,水螅花科
Mitrastemonaceae,帽蕊草科
Molluginaceae,粟米草科
Moraceae,桑科
Moringaceae,辣木科
Musaceae,芭蕉科
Myricaceae,杨梅科
Myristicaceae,肉豆蔻科
Myrtaceae,桃金娘科
Nartheciaceae,沼金花科
Nelumbonaceae,莲科
Nepenthaceae,猪笼草科
Nitrariaceae,白刺科
Nyctaginaceae,紫茉莉科
Nymphaeaceae,睡莲科
Nyssaceae,蓝果树科
Ochnaceae,金莲木科
Olacaceae,铁青树科
Oleaceae,木樨科
Onagraceae,柳叶菜科
Opiliaceae,山柚子科
Orchidaceae,兰科
Orobanchaceae,列当科
Oxalidaceae,酢浆草科
Paeoniaceae,芍药科
Pandaceae,小盘木科
Pandanaceae,露兜树科
Papaveraceae,罂粟科
Passifloraceae,西番莲科
Paulowniaceae,泡桐科
Pedaliaceae,芝麻科
Pentaphragmataceae,五膜草科
Pentaphylacaceae,五列木科
Penthoraceae,扯根菜科
Peraceae,蚌壳木科
Petiveriaceae,蒜香草科
Petrosaviaceae,无叶莲科
Philydraceae,田葱科
Phrymaceae,透骨草科
Phyllanthaceae,叶下珠科
Phytolaccaceae,商陆科
Piperaceae,胡椒科
Pittosporaceae,海桐科
Plantaginaceae,车前科
Platanaceae,悬铃木科
Plumbaginaceae,白花丹科
Poaceae,禾本科
Podostemaceae,川苔草科
Polemoniaceae,花荵科
Polygalaceae,远志科
Polygonaceae,蓼科
Pontederiaceae,雨久花科
Portulacaceae,马齿苋科
Posidoniaceae,海神草科
Potamogetonaceae,眼子菜科
Primulaceae,报春花科
Proteaceae,山龙眼科
Putranjivaceae,核果木科
Rafflesiaceae,大花草科
Ranunculaceae,毛茛科
Resedaceae,木樨草科
Restionaceae,帚灯草科
Rhamnaceae,鼠李科
Rhizophoraceae,红树科
Rosaceae,蔷薇科
Rubiaceae,茜草科
Ruppiaceae,川蔓藻科
Rutaceae,芸香科
Sabiaceae,清风藤科
Salicaceae,杨柳科
Salvadoraceae,刺茉莉科
Santalaceae,檀香科
Sapindaceae,无患子科
Sapotaceae,山榄科
Saururaceae,三白草科
Saxifragaceae,虎耳草科
Scheuchzeriaceae,冰沼草科
Schisandraceae,五味子科
Schoepfiaceae,青皮木科
Scrophulariaceae,玄参科
Simaroubaceae,苦木科
Sladeniaceae,肋果茶科
Smilacaceae,菝葜科
Solanaceae,茄科
Sphenocleaceae,楔瓣花科
Stachyuraceae,旌节花科
Staphyleaceae,省沽油科
Stemonaceae,百部科
Stemonuraceae,粗丝木科
Strelitziaceae,鹤望兰科
Stylidiaceae,花柱草科
Styracaceae,安息香科
Surianaceae,海人树科
Symplocaceae,山矾科
Talinaceae,土人参科
Tamaricaceae,柽柳科
Tapisciaceae,瘿椒树科
Tetramelaceae,四数木科
Theaceae,山茶科
Thymelaeaceae,瑞香科
Tofieldiaceae,岩菖蒲科
Torricelliaceae,鞘柄木科
Triuridaceae,霉草科
Trochodendraceae,昆栏树科
Tropaeolaceae,旱金莲科
Typhaceae,香蒲科
Ulmaceae,榆科
Urticaceae,荨麻科
Velloziaceae,翡若翠科
Verbenaceae,马鞭草科
Violaceae,堇菜科
Vitaceae,葡萄科
Wightiaceae,美丽桐科
Ximeniaceae,海檀木科
Xyridaceae,黄眼草科
Zingiberaceae,姜科
Zosteraceae,大叶藻科
Zygophyllaceae,蒺藜科
