Acrobolbus,顶苞苔属
Cyclosorus parvifolius,小叶毛蕨
Cyclosorus parvilobus,龙胜毛蕨
Cyclosorus pauciserratus,齿片毛蕨
Cyclosorus procerus,高毛蕨
Cyclosorus procurrens,无腺毛蕨
Cyclosorus pseudoaridus,假干旱毛蕨
Cyclosorus pseudocunneatus,楔形毛蕨
Cyclosorus pygmaeus,矮毛蕨
Cyclosorus scaberulus,糙叶毛蕨
Cyclosorus shimenensis,石门毛蕨
Cyclosorus siamensis,泰国毛蕨
Cyclosorus sinodentatus,中华齿状毛蕨
Cyclosorus subacutus,短尖毛蕨
Cyclosorus subelatus,巨型毛蕨
Cyclosorus tarningensis,泰宁毛蕨
Cyclosorus truncatus,截裂毛蕨
Cyclosorus truncatus var. angustipinnus,线羽毛蕨
Cyclosorus truncatus var. truncatus,截裂毛蕨(原变种)
Cyclosorus wenzhouensis,温州毛蕨
Cyclosorus wulingshanensis,武陵毛蕨
Cyclosorus zhangii,朝芳毛蕨
Glaphyropteridopsis emeiensis,峨眉方秆蕨
Glaphyropteridopsis eriocarpa,毛囊方秆蕨
Glaphyropteridopsis erubescens,方秆蕨
Glaphyropteridopsis glabrata,光滑方秆蕨
Glaphyropteridopsis jinfushanensis,金佛山方秆蕨
Glaphyropteridopsis mollis,柔弱方秆蕨
Glaphyropteridopsis pallida,灰白方秆蕨
Glaphyropteridopsis rufostraminea,粉红方秆蕨
Glaphyropteridopsis sichuanensis,四川方秆蕨
Glaphyropteridopsis splendens,大叶方秆蕨
Glaphyropteridopsis villosa,柔毛方秆蕨
Leptogramma centrochinensis,华中茯蕨
Leptogramma cyrtomioides,溪茯蕨
Leptogramma himalaica,喜马拉雅溪茯蕨
Leptogramma huishuiensis,惠水茯蕨
Leptogramma intermedia,中间茯蕨
Leptogramma jinfoshanensis,金佛山茯蕨
Leptogramma jinyunensis,缙云溪茯蕨
Leptogramma latipinna,阔羽溪茯蕨
Leptogramma leptogrammoides,锡金溪茯蕨
Leptogramma liui,金佛山溪茯蕨
Leptogramma mollissima,毛叶茯蕨
Leptogramma pozoi,西欧茯蕨
Leptogramma scallanii,峨眉茯蕨
Leptogramma sinensis,边果蕨
Leptogramma sinica,中华茯蕨
Leptogramma tottoides,小叶茯蕨
Leptogramma xingwenensis,兴文溪茯蕨
Leptogramma yahanensis,雅安茯蕨
Macrothelypteris contingens,细裂针毛蕨
Macrothelypteris oligophlebia,针毛蕨
Macrothelypteris oligophlebia var. elegans,雅致针毛蕨
Macrothelypteris oligophlebia var. oligophlebia,针毛蕨(原变种)
Macrothelypteris ornata,树形针毛蕨
Macrothelypteris polypodioides,桫椤针毛蕨
Macrothelypteris setigera,刚鳞针毛蕨
Macrothelypteris torresiana,普通针毛蕨
Macrothelypteris viridifrons,翠绿针毛蕨
Mesopteris tonkinensis,龙津蕨
Metathelypteris adscendens,微毛凸轴蕨
Metathelypteris deltoideofrons,三角叶凸轴蕨
Metathelypteris flaccida,薄叶凸轴蕨
Metathelypteris glandulifera,有腺凸轴蕨
Metathelypteris glandulosa,具腺凸轴蕨
Metathelypteris gracilescens,凸轴蕨
Metathelypteris hattorii,林下凸轴蕨
Metathelypteris laxa,疏羽凸轴蕨
Metathelypteris petiolulata,有柄凸轴蕨
Metathelypteris singalanensis,鲜绿凸轴蕨
Metathelypteris uraiensis,乌来凸轴蕨
Metathelypteris uraiensis var. tibetica,西藏凸轴蕨
Metathelypteris uraiensis var. uraiensis,乌来凸轴蕨(原变种)
Metathelypteris wuyishanica,武夷山凸轴蕨
Oreopteris elwesii,锡金假鳞毛蕨
Oreopteris quelpaertensis,亚洲假鳞毛蕨
Parathelypteris angustifrons,狭叶金星蕨
Parathelypteris beddomei,长根金星蕨
Parathelypteris borealis,狭脚金星蕨
Parathelypteris caoshanensis,草山金星蕨
Parathelypteris castanea,台湾金星蕨
Parathelypteris caudata,尾羽金星蕨
Parathelypteris changbaishanensis,长白山金星蕨
Parathelypteris chinensis,中华金星蕨
Parathelypteris chinensis var. chinensis,中华金星蕨(原变种)
Parathelypteris chinensis var. trichocarpa,毛果金星蕨
Parathelypteris chingii,秦氏金星蕨
Parathelypteris chingii var. chingii,秦氏金星蕨(原变种)
Parathelypteris chingii var. major,大羽金星蕨
Parathelypteris cystopteroides,马蹄金星蕨
Parathelypteris glanduligera,金星蕨
Parathelypteris glanduligera var. glanduligera,金星蕨(原变种)
Parathelypteris glanduligera var. puberula,微毛金星蕨
Parathelypteris grammitoides,矮小金星蕨
Parathelypteris indochinensis,滇越金星蕨
Parathelypteris japonica var. glabrata,光叶金星蕨
Parathelypteris nigrescens,黑叶金星蕨
Parathelypteris nipponica,中日金星蕨
Parathelypteris pauciloba,阔片金星蕨
Parathelypteris qinlingensis,秦岭金星蕨
Parathelypteris serrutula,有齿金星蕨
Parathelypteris subimmersa,海南金星蕨
Parathelypteris trichochlamys,毛盖金星蕨
Phegopteris connectilis,卵果蕨
Phegopteris decursive-pinnata,延羽卵果蕨
Phegopteris taiwaniana,台湾卵果蕨
Phegopteris tibetica,西藏卵果蕨
Pronephrium cuspidatum,顶芽新月蕨
Pronephrium gracilis,小叶新月蕨
Pronephrium gymnopteridifrons,新月蕨
Pronephrium hekouensis,河口新月蕨
Pronephrium hirsutum,针毛新月蕨
Pronephrium insularis,岛生新月蕨
Pronephrium lakhimpurense,红色新月蕨
Pronephrium longipetiolatum,长柄新月蕨
Pronephrium macrophyllum,硕羽新月蕨
Pronephrium medogensis,墨脱新月蕨
Pronephrium megacuspe,微红新月蕨
Pronephrium nudatum,大羽新月蕨
Pronephrium parishii,羽叶新月蕨
Pronephrium penangianum,披针新月蕨
Pronephrium setosum,刚毛新月蕨
Pronephrium simplex,单叶新月蕨
Pronephrium triphyllum,三羽新月蕨
Pronephrium yunguiensis,云贵新月蕨
Pseudocyclosorus angustipinnus,狭羽假毛蕨
Pseudocyclosorus canus,长根假毛蕨
Pseudocyclosorus cavaleriei,青岩假毛蕨
Pseudocyclosorus damingshanensis,大明山假毛蕨
Pseudocyclosorus dehuaensis,德化假毛蕨
Pseudocyclosorus duclouxii,苍山假毛蕨
Pseudocyclosorus dulongjiangensis,独龙江假毛蕨
Pseudocyclosorus emeiensis,峨眉假毛蕨
Pseudocyclosorus esquirolii,西南假毛蕨
Pseudocyclosorus falcilobus,镰片假毛蕨
Pseudocyclosorus fugongensis,福贡假毛蕨
Pseudocyclosorus furcatovenulosus,叉脉假毛蕨
Pseudocyclosorus gongshanensis,贡山假毛蕨
Pseudocyclosorus guangxianensis,灌县假毛蕨
Pseudocyclosorus guangxiensis,广西假毛蕨
Pseudocyclosorus jijiangensis,綦江假毛蕨
Pseudocyclosorus latilobus,阔片假毛蕨
Pseudocyclosorus linearis,线羽假毛蕨
Pseudocyclosorus lushanensis,庐山假毛蕨
Pseudocyclosorus lushuiensis,泸水假毛蕨
Pseudocyclosorus obliquus,斜展假毛蕨
Pseudocyclosorus ornatipes,丽足假毛蕨
Pseudocyclosorus paraochthodes,武宁假毛蕨
Pseudocyclosorus pseudofalcilobus,似镰羽假毛蕨
Pseudocyclosorus pseudorepens,毛脉假毛蕨
Pseudocyclosorus qingchengensis,青城假毛蕨
Pseudocyclosorus shuangbaiensis,双柏假毛蕨
Pseudocyclosorus stramineus,禾秆假毛蕨
Pseudocyclosorus subfalcilobus,光脉假毛蕨
Pseudocyclosorus submarginalis,边囊假毛蕨
Pseudocyclosorus subochthodes,普通假毛蕨
Pseudocyclosorus tibeticus,西藏假毛蕨
Pseudocyclosorus torrentis,急流假毛蕨
Pseudocyclosorus tsoi,景烈假毛蕨
Pseudocyclosorus tuberculifer,瘤羽假毛蕨
Pseudocyclosorus tylodes,假毛蕨
Pseudocyclosorus xinpingensis,新平假毛蕨
Pseudocyclosorus zayuensis,察隅假毛蕨
Pseudophegopteris aurita,耳状紫柄蕨
Pseudophegopteris brevipes,短柄紫柄蕨
Pseudophegopteris hirtirachis,密毛紫柄蕨
Pseudophegopteris levingei,星毛紫柄蕨
Pseudophegopteris microstegia,禾秆紫柄蕨
Pseudophegopteris paludosa,毛囊紫柄蕨
Pseudophegopteris pyrrhorhachis,紫柄蕨
Pseudophegopteris pyrrhorhachis var. glabrata,光叶紫柄蕨
Pseudophegopteris pyrrhorhachis var. pyrrhorhachis,紫柄蕨(原变种)
Pseudophegopteris rectangularis,对生紫柄蕨
Pseudophegopteris subaurita,光囊紫柄蕨
Pseudophegopteris tibetana,西藏紫柄蕨
Pseudophegopteris yigongensis,易贡紫柄蕨
Pseudophegopteris yunkweiensis,云贵紫柄蕨
Pseudophegopteris zayuensis,察隅紫柄蕨
Sphaerostephanos heterocarpus,异果圆腺蕨
Sphaerostephanos latebrosus,荫生圆腺蕨
Sphaerostephanos productus,兰屿大叶圆腺蕨
Sphaerostephanos taiwanensis,台湾圆腺蕨
Stegnogramma dictyoclinoides,屏边溪边蕨
Stegnogramma griffithii,圣蕨
Stegnogramma mingchegensis,闽浙圣蕨
Stegnogramma sagittifolia,戟叶圣蕨
Stegnogramma wilfordii,羽裂圣蕨
Thelypteris fairbankii,鳞片沼泽蕨
Thelypteris palustris,沼泽蕨
Thelypteris palustris var. palustris,沼泽蕨(原变种)
Thelypteris palustris var. pubescens,毛叶沼泽蕨
Trigonospora caudipinna,尾羽三槽蕨
Trigonospora ciliata,三槽蕨
Physematium,二羽岩蕨属
Woodsia,岩蕨属
Physematium elongatum,长叶滇蕨
Physematium indusiosum,滇蕨
Physematium kangdingense,康定滇蕨
Physematium manchuriense,膀胱蕨
Woodsia acuminata,渐尖岩蕨
Woodsia alpina,西疆岩蕨
Woodsia andersonii,蜘蛛岩蕨
Woodsia cinnamomea,赤色岩蕨
Woodsia cycloloba,栗柄岩蕨
Woodsia glabella,光岩蕨
Woodsia guizhouensis,贵州岩蕨
Woodsia hancockii,华北岩蕨
Woodsia ilvensis,岩蕨
Woodsia intermedia,东亚岩蕨
Woodsia kungiana,宪需岩蕨
Woodsia lanosa,毛盖岩蕨
Woodsia macrochlaena,大囊岩蕨
Woodsia macrospora,甘南岩蕨
Woodsia oblonga,妙峰岩蕨
Woodsia okamotoi,冈本氏岩蕨
Woodsia pilosa,嵩县岩蕨
Woodsia polystichoides,耳羽岩蕨
Woodsia rosthorniana,密毛岩蕨
Woodsia shennongensis,神农岩蕨
Woodsia shensiensis,陕西岩蕨
Woodsia sinica,山西岩蕨
Woodsia subcordata,等基岩蕨
Agathis,贝壳杉属
Araucaria,南洋杉属
Agathis dammara,贝壳杉
Araucaria bidwillii,大叶南洋杉
Araucaria cunninghamii,南洋杉
Araucaria heterophylla,异叶南洋杉
Calocedrus,翠柏属
Chamaecyparis,扁柏属
Cryptomeria,柳杉属
Cunninghamia,杉木属
Cupressus,柏木属
Fokienia,福建柏属
Glyptostrobus,水松属
Hesperocyparis,美洲柏木属
Juniperus,刺柏属
Metasequoia,水杉属
Platycladus,侧柏属
Sequoia,北美红杉属
Sequoiadendron,巨杉属
Taiwania,台湾杉属
Taxodium,落羽杉属
Thuja,崖柏属
Thujopsis,罗汉柏属
Xanthocyparis,金柏属
Calocedrus formosana,台湾翠柏
Calocedrus macrolepis,翠柏
Calocedrus rupestris,岩生翠柏
Chamaecyparis formosensis,红桧
Chamaecyparis lawsoniana,美国扁柏
Chamaecyparis obtusa,日本扁柏
Chamaecyparis obtusa var. formosana,台湾扁柏
Chamaecyparis obtusa var. obtusa,日本扁柏(原变种)
Chamaecyparis pisifera,日本花柏
Chamaecyparis thyoides,美国尖叶扁柏
Cryptomeria japonica,日本柳杉
Cryptomeria japonica var. sinensis,柳杉
Cunninghamia konishii,台湾杉木
Cunninghamia lanceolata,杉木
Cupressus chengiana,岷江柏木
Cupressus chengiana var. chengiana,岷江柏木(原变种)
Cupressus chengiana var. jiangeensis,剑阁柏木
Cupressus duclouxiana,干香柏
Cupressus funebris,柏木
Cupressus gansuensis,甘肃柏木
Cupressus gigantea,巨柏
Cupressus rushforthii,通麦柏木
Cupressus sempervirens,地中海柏木
Cupressus torulosa,西藏柏木
Fokienia hodginsii,福建柏
Glyptostrobus pensilis,水松
Hesperocyparis arizonica,美洲柏木
Hesperocyparis goveniana,加州柏木
Hesperocyparis lusitanica,墨西哥柏木
Juniperus chinensis,圆柏
Juniperus chinensis var. chinensis,圆柏(原变种)
Juniperus chinensis var. sargentii,偃柏
Juniperus communis,欧洲刺柏
Juniperus communis var. saxatilis,西伯利亚刺柏
Juniperus convallium,密枝圆柏
Juniperus coxii,小果垂枝柏
Juniperus erectopatens,松潘圆柏
Juniperus formosana,刺柏
Juniperus gaussenii,昆明柏
Juniperus indica,滇藏方枝柏
Juniperus indica var. caespitosa,簇生滇藏方枝柏
Juniperus indica var. indica,滇藏方枝柏(原变种)
Juniperus jarkendensis,昆仑圆柏
Juniperus komarovii,塔枝圆柏
Juniperus microsperma,小子圆柏
Juniperus morrisonicola,玉山圆柏
Juniperus pingii,垂枝香柏
Juniperus pingii var. carinata,直叶香柏
Juniperus pingii var. chengii,万钧柏
Juniperus pingii var. miehei,西藏香柏
Juniperus pingii var. pingii,垂枝香柏(原变种)
Juniperus pingii var. wilsonii,香柏
Juniperus procumbens,铺地柏
Juniperus przewalskii,祁连圆柏
Juniperus pseudosabina,新疆方枝柏
Juniperus recurva,垂枝柏
Juniperus rigida,杜松
Juniperus rigida var. rigida,杜松(原变种)
Juniperus sabina,叉子圆柏
Juniperus sabina var. arenaria,沙柏
Juniperus sabina var. davurica,兴安圆柏
Juniperus sabina var. sabina,叉子圆柏(原变种)
Juniperus saltuaria,方枝柏
Juniperus semiglobosa,昆仑多子柏
Juniperus squamata,高山柏
Juniperus squamata var. fargesii,大香桧
Juniperus squamata var. parviflora,小叶高山柏
Juniperus squamata var. squamata,高山柏(原变种)
Juniperus tibetica,大果圆柏
Juniperus tsukusiensis,清水圆柏
Juniperus tsukusiensis var. taiwanensis,台湾清水圆柏
Juniperus virginiana,北美圆柏
Juniperus × pfitzeriana,鹿角桧
Metasequoia glyptostroboides,水杉
Platycladus orientalis,侧柏
Platycladus orientalis 'Beverleyensis',金塔柏
Platycladus orientalis 'Semperaurescens',金黄球柏
Platycladus orientalis 'Sieboldii',千头柏
Platycladus orientalis 'Zhaiguancebai',窄冠侧柏
Sequoia sempervirens,北美红杉
Sequoiadendron giganteum,巨杉
Taiwania cryptomerioides,台湾杉
Taxodium distichum,落羽杉
Taxodium distichum var. distichum,落羽杉(原变种)
Taxodium distichum var. imbricatum,池杉
Taxodium mucronatum,墨西哥落羽杉
Thuja koraiensis,朝鲜崖柏
Thuja occidentalis,北美香柏
Thuja plicata,北美乔柏
Thuja standishii,日本香柏
Thuja sutchuenensis,崖柏
Thujopsis dolabrata,罗汉柏
Xanthocyparis vietnamensis,金柏
Cycas,苏铁属
Cycas balansae,宽叶苏铁
Cycas bifida,叉叶苏铁
Cycas changjiangensis,葫芦苏铁
Cycas collina,越南苏铁
Cycas debaoensis,德保苏铁
Cycas diannanensis,滇南苏铁
Cycas dolichophylla,长叶苏铁
Cycas ferruginea,锈毛苏铁
Cycas guizhouensis,贵州苏铁
Cycas hainanensis,海南苏铁
Cycas hongheensis,灰干苏铁
Cycas lingshuigensis,念珠苏铁
Cycas longipetiolula,长柄叉叶苏铁
Cycas multifrondis,多羽叉叶苏铁
Cycas multiovula,多胚苏铁
Cycas multipinnata,多歧苏铁
Cycas panzhihuaensis,攀枝花苏铁
Cycas pectinata,篦齿苏铁
Cycas revoluta,苏铁
Cycas segmentifida,叉孢苏铁
Cycas sexseminifera,石山苏铁
Cycas shanyagensis,三亚苏铁
Cycas simplicipinna,单羽苏铁
Cycas szechuanensis,仙湖苏铁
Cycas taitungensis,台东苏铁
Cycas taiwaniana,闽粤苏铁
Cycas tanqingii,绿春苏铁
Ephedra,麻黄属
Ephedra chengiae,诚氏麻黄
Ephedra chengiae var. chengiae,诚氏麻黄(原变种)
Ephedra chengiae var. spinosa,刺枝麻黄
Ephedra dawuensis,道孚麻黄
Ephedra distachya,双穗麻黄
Ephedra equisetina,木贼麻黄
Ephedra fedtschenkoae,雌雄麻黄
Ephedra gerardiana,山岭麻黄
Ephedra glauca,灰麻黄
Ephedra intermedia,中麻黄
Ephedra likiangensis,丽江麻黄
Ephedra likiangensis var. likiangensis,丽江麻黄(原变种)
Ephedra likiangensis var. mairei,匐枝丽江麻黄
Ephedra lomatolepis,窄膜麻黄
Ephedra major,大麻黄
Ephedra minuta,矮麻黄
Ephedra monosperma,单子麻黄
Ephedra przewalskii,膜果麻黄
Ephedra regeliana,细子麻黄
Ephedra rhytidosperma,斑子麻黄
Ephedra rituensis,日土麻黄
Ephedra saxatilis,藏麻黄
Ephedra sinica,草麻黄
Ginkgo,银杏属
Ginkgo biloba,银杏
Gnetum,买麻藤属
Gnetum catasphaericum,球子买麻藤
Gnetum chinense,中华买麻藤
Gnetum cleistostachyum,闭苞买麻藤
Gnetum giganteum,巨子买麻藤
Gnetum gnemon,显轴买麻藤
Gnetum gnemon var. gnemon,显轴买麻藤(原变种)
Gnetum gracilipes,细柄买麻藤
Gnetum hainanense,海南买麻藤
Gnetum luofuense,罗浮买麻藤
Gnetum montanum,买麻藤
Gnetum parvifolium,小叶买麻藤
Gnetum pendulum,垂子买麻藤
Abies,冷杉属
Cathaya,银杉属
Cedrus,雪松属
Keteleeria,油杉属
Larix,落叶松属
Nothotsuga,长苞铁杉属
Picea,云杉属
Pinus,松属
Pseudolarix,金钱松属
Pseudotsuga,黄杉属
Tsuga,铁杉属
Abies beshanzuensis,百山祖冷杉
Abies chayuensis,察隅冷杉
Abies chensiensis,秦岭冷杉
Abies chensiensis subsp. chensiensis,秦岭冷杉(原亚种)
Abies delavayi,苍山冷杉
Abies delavayi var. delavayi,苍山冷杉(原变种)
Abies delavayi var. motuoensis,墨脱冷杉
Abies densa,锡金冷杉
Abies ernestii,黄果冷杉
Abies ernestii var. ernestii,黄果冷杉(原变种)
Abies ernestii var. salouenensis,大黄果冷杉
Abies fabri,冷杉
Abies fabri subsp. fabri,冷杉(原亚种)
Abies fabri subsp. minensis,川西冷杉
Abies fanjingshanensis,梵净山冷杉
Abies fargesii,巴山冷杉
Abies fargesii var. fargesii,巴山冷杉(原变种)
Abies fargesii var. faxoniana,岷江冷杉
Abies fargesii var. sutchuenensis,四川冷杉
Abies ferreana,中甸冷杉
Abies ferreana var. ferreana,中甸冷杉(原变种)
Abies ferreana var. longibracteata,长苞中甸冷杉
Abies firma,日本冷杉
Abies fordei,多雄拉冷杉
Abies forrestii,川滇冷杉
Abies forrestii var. forrestii,川滇冷杉(原变种)
Abies georgei,长苞冷杉
Abies georgei var. georgei,长苞冷杉(原变种)
Abies georgei var. smithii,急尖长苞冷杉
Abies holophylla,杉松
Abies kawakamii,台湾冷杉
Abies nephrolepis,臭冷杉
Abies nukiangensis,怒江冷杉
Abies recurvata,紫果冷杉
Abies sibirica,新疆冷杉
Abies sibirica subsp. sibirica,新疆冷杉(原亚种)
Abies spectabilis,西藏冷杉
Abies squamata,鳞皮冷杉
Abies yuanbaoshanensis,元宝山冷杉
Abies ziyuanensis,资源冷杉
Cathaya argyrophylla,银杉
Cedrus atlantica,北非雪松
Cedrus deodara,雪松
Keteleeria davidiana,铁坚油杉
Keteleeria davidiana var. calcarea,黄枝油杉
Keteleeria davidiana var. davidiana,铁坚油杉(原变种)
Keteleeria davidiana var. formosana,台湾油杉
Keteleeria evelyniana,云南油杉
Keteleeria fortunei,油杉
Keteleeria fortunei var. cyclolepis,江南油杉
Keteleeria fortunei var. fortunei,油杉(原变种)
Keteleeria fortunei var. oblonga,矩鳞油杉
Keteleeria hainanensis,海南油杉
Keteleeria pubescens,柔毛油杉
Larix decidua,欧洲落叶松
Larix gmelinii,落叶松
Larix gmelinii var. gmelinii,落叶松(原变种)
Larix gmelinii var. principis-rupprechtii,华北落叶松
Larix griffithii,西藏红杉
Larix himalaica,喜马拉雅红杉
Larix kaempferi,日本落叶松
Larix kongboensis,贡布红杉
Larix mastersiana,四川红杉
Larix olgensis,黄花落叶松
Larix potaninii,红杉
Larix potaninii var. australis,南方红杉
Larix potaninii var. chinensis,秦岭红杉
Larix potaninii var. macrocarpa,大果红杉
Larix potaninii var. potaninii,红杉(原变种)
Larix sibirica,新疆落叶松
Larix speciosa,怒江红杉
Nothotsuga longibracteata,长苞铁杉
Picea abies,欧洲云杉
Picea abies var. abies,欧洲云杉(原变种)
Picea asperata,云杉
Picea asperata var. asperata,云杉(原变种)
Picea asperata var. notabilis,裂鳞云杉
Picea asperata var. ponderosa,大果云杉
Picea aurantiaca,白皮云杉
Picea brachytyla,麦吊云杉
Picea brachytyla var. brachytyla,麦吊云杉(原变种)
Picea brachytyla var. complanata,油麦吊云杉
Picea crassifolia,青海云杉
Picea farreri,缅甸云杉
Picea jezoensis,鱼鳞云杉
Picea jezoensis var. komarovii,长白鱼鳞云杉
Picea jezoensis var. microsperma,兴安鱼鳞云杉
Picea koraiensis,红皮云杉
Picea koraiensis var. koraiensis,红皮云杉(原变种)
Picea likiangensis,丽江云杉
Picea likiangensis var. hirtella,黄果云杉
Picea likiangensis var. likiangensis,丽江云杉(原变种)
Picea likiangensis var. linzhiensis,林芝云杉
Picea likiangensis var. montigena,康定云杉
Picea likiangensis var. rubescens,川西云杉
Picea linzhiensis,林芝云杉
Picea meyeri,白杄
Picea morrisonicola,台湾云杉
Picea neoveitchii,大果青杄
Picea obovata,新疆云杉
Picea purpurea,紫果云杉
Picea retroflexa,鳞皮云杉
Picea schrenkiana,雪岭杉
Picea schrenkiana subsp. tianschanica,天山云杉
Picea smithiana,长叶云杉
Picea spinulosa,西藏云杉
Picea torano,日本云杉
Picea wilsonii,青杄
Pinus armandii,华山松
Pinus armandii var. armandii,华山松(原变种)
Pinus armandii var. mastersiana,台湾果松
Pinus banksiana,北美短叶松
Pinus bhutanica,不丹松
Pinus bungeana,白皮松
Pinus caribaea,加勒比松
Pinus dabeshanensis,大别山五针松
Pinus densata,高山松
Pinus densiflora,赤松
Pinus densiflora var. densiflora,赤松(原变种)
Pinus densiflora var. ussuriensis,兴凯赤松
Pinus densiflora var. zhangwuensis,彰武赤松
Pinus echinata,萌芽松
Pinus elliottii,湿地松
Pinus fenzeliana,海南五针松
Pinus fragilissima,脆果松
Pinus gerardiana,西藏白皮松
Pinus henryi,巴山松
Pinus hwangshanensis,黄山松
Pinus kesiya,卡西亚松
Pinus kesiya var. kesiya,卡西亚松(原变种)
Pinus kesiya var. langbianensis,思茅松
Pinus koraiensis,红松
Pinus kwangtungensis,华南五针松
Pinus kwangtungensis var. kwangtungensis,华南五针松(原变种)
Pinus kwangtungensis var. varifolia,变叶华南五针松
Pinus latteri,南亚松
Pinus massoniana,马尾松
Pinus massoniana var. hainanensis,雅加松
Pinus massoniana var. massoniana,马尾松(原变种)
Pinus morrisonicola,台湾五针松
Pinus nigra,欧洲黑松
Pinus orthophylla,直叶五针松
Pinus palustris,长叶松
Pinus parviflora,日本五针松
Pinus pinaster,海岸松
Pinus ponderosa,西黄松
Pinus pumila,偃松
Pinus rigida,刚松
Pinus roxburghii,西藏长叶松
Pinus serotina,晚松
Pinus sibirica,新疆五针松
Pinus squamata,五针白皮松
Pinus strobus,北美乔松
Pinus sylvestris,欧洲赤松
Pinus sylvestris var. mongolica,樟子松
Pinus sylvestris var. sylvestriformis,长白松
Pinus sylvestris var. sylvestris,欧洲赤松(原变种)
Pinus tabuliformis,油松
Pinus tabuliformis var. mukdensis,黑皮油松
Pinus tabuliformis var. tabuliformis,油松(原变种)
Pinus tabuliformis var. umbraculifera,扫帚油松
Pinus taeda,火炬松
Pinus taiwanensis,台湾松
Pinus thunbergii,黑松
Pinus tropicalis,热带松
Pinus virginiana,矮松
Pinus wallichiana,乔松
Pinus wallichiana var. wallichiana,乔松(原变种)
Pinus wangii,毛枝五针松
Pinus yunnanensis,云南松
Pinus yunnanensis var. pygmaea,地盘松
Pinus yunnanensis var. tenuifolia,细叶云南松
Pinus yunnanensis var. yunnanensis,云南松(原变种)
Pinus × cerambycifera,马尾黄山松
Pinus × naxiorum,云南高山松
Pseudolarix amabilis,金钱松
Pseudotsuga brevifolia,短叶黄杉
Pseudotsuga forrestii,澜沧黄杉
Pseudotsuga gaussenii,华东黄杉
Pseudotsuga macrocarpa,大果黄杉
Pseudotsuga menziesii,花旗松
Pseudotsuga menziesii var. menziesii,花旗松(原变种)
Pseudotsuga sinensis,黄杉
Pseudotsuga wilsoniana,台湾黄杉
Tsuga chinensis,铁杉
Tsuga chinensis var. chinensis,铁杉(原变种)
Tsuga chinensis var. patens,长阳铁杉
Tsuga chinensis var. robusta,大果铁杉
Tsuga dumosa,云南铁杉
Tsuga formosana,台湾铁杉
Tsuga forrestii,丽江铁杉
Tsuga oblongisquamata,矩鳞铁杉
Dacrycarpus,鸡毛松属
Dacrydium,陆均松属
Nageia,竹柏属
Podocarpus,罗汉松属
Dacrycarpus imbricatus,鸡毛松
Dacrycarpus imbricatus var. imbricatus,鸡毛松(原变种)
Dacrydium pectinatum,陆均松
Nageia fleuryi,长叶竹柏
Nageia nagi,竹柏
Nageia wallichiana,肉托竹柏
Podocarpus annamiensis,海南罗汉松
Podocarpus chinensis,短叶罗汉松
Podocarpus chingianus,柱冠罗汉松
Podocarpus costalis,兰屿罗汉松
Podocarpus forrestii,大理罗汉松
Podocarpus macrophyllus,罗汉松
Podocarpus nakaii,台湾罗汉松
Podocarpus neriifolius,百日青
Podocarpus pilgeri,小叶罗汉松
Podocarpus subtropicalis,四川罗汉松
Sciadopitys,金松属
Sciadopitys verticillata,金松
Amentotaxus,穗花杉属
Cephalotaxus,三尖杉属
Pseudotaxus,白豆杉属
Taxus,红豆杉属
Torreya,榧属
Amentotaxus argotaenia,穗花杉
Amentotaxus argotaenia var. argotaenia,穗花杉(原变种)
Amentotaxus argotaenia var. brevifolia,短叶穗花杉
Amentotaxus formosana,台湾穗花杉
Amentotaxus hekouensis,河口穗花杉
Amentotaxus yunnanensis,云南穗花杉
Cephalotaxus fortunei,三尖杉
Cephalotaxus fortunei var. alpina,高山三尖杉
Cephalotaxus fortunei var. fortunei,三尖杉(原变种)
Cephalotaxus griffithii,贡山三尖杉
Cephalotaxus hainanensis,海南粗榧
Cephalotaxus harringtonii,日本粗榧
Cephalotaxus harringtonii var. harringtonii,喜马拉雅粗榧(原变种)
Cephalotaxus harringtonii var. wilsoniana,台湾粗榧
Cephalotaxus latifolia,宽叶粗榧
Cephalotaxus mannii,西双版纳粗榧
Cephalotaxus nana,矮三尖杉
Cephalotaxus oliveri,篦子三尖杉
Cephalotaxus sinensis,粗榧
Pseudotaxus chienii,白豆杉
Taxus calcicola,灰岩红豆杉
Taxus contorta,密叶红豆杉
Taxus cuspidata,东北红豆杉
Taxus cuspidata var. cuspidata,东北红豆杉(原变种)
Taxus cuspidata var. nana,矮紫杉
Taxus florinii,川滇红豆杉
Taxus wallichiana,西藏红豆杉
Taxus wallichiana var. chinensis,红豆杉
Taxus wallichiana var. mairei,南方红豆杉
Taxus wallichiana var. wallichiana,西藏红豆杉(原变种)
Torreya fargesii,巴山榧
Torreya fargesii subsp. fargesii,巴山榧(原亚种)
Torreya fargesii subsp. parvifolia,四川榧
Torreya grandis,榧
Torreya grandis var. grandis,榧(原变种)
Torreya grandis var. jiulongshanensis,九龙山榧
Torreya jackii,长叶榧
Torreya nucifera,日本榧
Torreya yunnanensis,云南榧
Acanthus,老鼠簕属
Andrographis,穿心莲属
Asystasia,十万错属
Avicennia,海榄雌属
Barleria,假杜鹃属
Blepharis,百簕花属
Chroesthes,色萼花属
Clinacanthus,鳄嘴花属
Codonacanthus,钟花草属
Cosmianthemum,秋英爵床属
Cystacanthus,鳔冠花属
Dicliptera,狗肝菜属
