Acrobolbus,顶苞苔属
Cephalozia connivens,喙叶大萼苔
Cephalozia gollanii,南亚大萼苔
Cephalozia hamatiloba,弯叶大萼苔
Cephalozia lacinulata,毛口大萼苔
Cephalozia leucantha,厚壁大萼苔
Cephalozia lunulifolia,月瓣大萼苔
Cephalozia macounii,短瓣大萼苔
Cephalozia otaruensis,薄壁大萼苔
Cephalozia pleniceps,细瓣大萼苔
Nowellia aciliata,无毛拳叶苔
Nowellia curvifolia,拳叶苔
Odontoschisma denudatum,裂齿苔
Odontoschisma francisci,钝叶苔
Odontoschisma grosseverrucosum,瘤壁裂齿苔
Odontoschisma sphagni,湿生裂齿苔
Pleurocladula albescens,侧枝苔
Schiffneria hyalina,塔叶苔
Schiffneria yunnanensis,云南塔叶苔
Cephaloziella,拟大萼苔属
Cylindrocolea,筒萼苔属
Gottschelia,戈氏苔属
Obtusifolium,秃瓣苔属
Cephaloziella breviperianthia,短萼拟大萼苔
Cephaloziella dentata,粗齿拟大萼苔
Cephaloziella divaricata,挺枝拟大萼苔
Cephaloziella elachista,狭叶拟大萼苔
Cephaloziella elachista var. spinophylla,刺苞叶狭叶拟大萼苔
Cephaloziella flexuosa,扭叶拟大萼苔
Cephaloziella hampeana,哈氏拟大萼苔
Cephaloziella microphylla,小叶拟大萼苔
Cephaloziella rubella,红色拟大萼苔
Cephaloziella spinicaulis,刺茎拟大萼苔
Cephaloziella stephanii,仰叶拟大萼苔
Cylindrocolea kiaeri,鳞叶筒萼苔
Cylindrocolea recurvifolia,弯叶筒萼苔
Cylindrocolea tagawae,东亚筒萼苔
Gottschelia schizopleura,戈氏苔
Obtusifolium obtusum,秃瓣苔
Aitchisoniella,无柄山苔属
Athalamia,高山苔属
Clevea,克氏苔属
Peltolepis,月鳞苔属
Sauteria,星孔苔属
Aitchisoniella himalayensis,无柄山苔
Athalamia handelii,云南高山苔
Athalamia pinguis,高山苔
Clevea hyalina,克氏苔
Clevea pusilla,小克氏苔
Peltolepis japonica,日本月鳞苔
Peltolepis quadrata,月鳞苔
Sauteria alpina,星孔苔
Sauteria inflata,膨柄星孔苔
Sauteria spongiosa,球孢星孔苔
Conocephalum,蛇苔属
Conocephalum conicum,蛇苔
Conocephalum japonicum,小蛇苔
Conocephalum salebrosum,暗色蛇苔
Corsinia,花地钱属
Exormotheca,突苞苔属
Corsinia coriandrina,花地钱
Exormotheca bischlerae,四川突苞苔
Cyathodium,光苔属
Cyathodium aureonitens,黄光苔
Cyathodium cavernarum,光苔
Cyathodium smaragdinum,艳绿光苔
Cyathodium tuberculatum,细疣光苔
Cyathodium tuberosum,芽胞光苔
Dumortiera,毛地钱属
Dumortiera hirsuta,毛地钱
Fossombronia,小叶苔属
Fossombronia himalayensis,喜马拉雅小叶苔
Fossombronia japonica,日本小叶苔
Fossombronia pusilla,小叶苔
Frullania,耳叶苔属
Frullania acutiloba,喙尖耳叶苔
Frullania alstonii,阿氏耳叶苔
Frullania amplicrania,黑耳叶苔
Frullania aoshimensis,青山耳叶苔
Frullania apiculata,尖叶耳叶苔
Frullania aposinensis,华夏耳叶苔
Frullania appendistipula,小褶耳叶苔
Frullania arecae,折扇耳叶苔
Frullania benjaminiana,马来耳叶苔
Frullania berthoumieui,缅甸耳叶苔
Frullania bolanderi,细茎耳叶苔
Frullania bonincola,小笠原耳叶苔
Frullania caduca,早落耳叶苔
Frullania changii,张氏耳叶苔
Frullania chenii,陈氏耳叶苔
Frullania claviloba,棒瓣耳叶苔
Frullania consociata,西南耳叶苔
Frullania davurica,达乌里耳叶苔
Frullania davurica f. davurica,达乌里耳叶苔(原变型)
Frullania davurica f. dorsoblastos,芽胞达乌里耳叶苔
Frullania davurica f. microphylla,小叶达乌里耳叶苔
Frullania davurica subsp. jackii,凹叶达乌里耳叶苔
Frullania densiloba,密瓣耳叶苔
Frullania diversitexta,筒瓣耳叶苔
Frullania duthiana,杜氏耳叶苔
Frullania duthiana var. szechuanensis,四川杜氏耳叶苔
Frullania ericoides,皱叶耳叶苔
Frullania ericoides var. ericoides,皱叶耳叶苔(原变种)
Frullania ericoides var. planescens,平叶皱叶耳叶苔
Frullania evelynae,波脊耳叶苔
Frullania eymae,波叶耳叶苔
Frullania fauriana,远东耳叶苔
Frullania fengyangshanensis,凤阳山耳叶苔
Frullania formosae,美丽岛耳叶苔
Frullania fuscovirens,暗绿耳叶苔
Frullania fuscovirens var. fuscovirens,暗绿耳叶苔(原变种)
Frullania fuscovirens var. gemmipara,芽胞暗绿耳叶苔
Frullania gaoligongensis,高黎贡耳叶苔
Frullania gaudichaudii,短瓣耳叶苔
Frullania gemmulosa,芽胞耳叶苔
Frullania giraldiana,心叶耳叶苔
Frullania giraldiana var. giraldiana,心叶耳叶苔(原变种)
Frullania giraldiana var. handelii,耳基心叶耳叶苔
Frullania gracilis,油胪耳叶苔
Frullania hainanensis,海南耳叶苔
Frullania hamatiloba,钩瓣耳叶苔
Frullania handelii,韩氏耳叶苔
Frullania handle-mazzettii,斜基耳叶苔
Frullania hiroshii,浩耳叶苔
Frullania hypoleuca,细瓣耳叶苔
Frullania inflata,石生耳叶苔
Frullania inflexa,楔形耳叶苔
Frullania inouei,圆形耳叶苔
Frullania jackii,全缘耳叶苔
Frullania kagoshimensis,鹿儿岛耳叶苔
Frullania kagoshimensis subsp. hunanensis,湖南耳叶苔
Frullania kagoshimensis subsp. minor,小型鹿儿岛耳叶苔
Frullania kashyapii,卡氏耳叶苔
Frullania koponenii,鞭枝耳叶苔
Frullania laeviperiantha,耳叶苔
Frullania linii,弯瓣耳叶苔
Frullania lushanensis,庐山耳叶苔
Frullania macrophylla,大叶耳叶苔
Frullania meyeniana,美圆耳叶苔
Frullania moniliata,列胞耳叶苔
Frullania monocera,羊角耳叶苔
Frullania motoyana,短萼耳叶苔
Frullania muscicola,盔瓣耳叶苔
Frullania nepalensis,尼泊尔耳叶苔
Frullania neurota,兜瓣耳叶苔
Frullania nivimontana,雪山耳叶苔
Frullania nodulosa,厚角耳叶苔
Frullania obovata,卵圆耳叶苔
Frullania orientalis,东方耳叶苔
Frullania osumiensis,大隅耳叶苔
Frullania pallidevirens,淡色耳叶苔
Frullania pariharii,圆片耳叶苔
Frullania parvifolia,小叶耳叶苔
Frullania parvistipula,钟瓣耳叶苔
Frullania pedicellata,喙瓣耳叶苔
Frullania physantha,顶脊耳叶苔
Frullania polyptera,多褶耳叶苔
Frullania punctata,点胞耳叶苔
Frullania ramuligera,刺苞叶耳叶苔
Frullania retusa,微凹耳叶苔
Frullania retusa var. hirsuta,毛萼微凹耳叶苔
Frullania rhystocolea,粗萼耳叶苔
Frullania rhytidantha,微齿耳叶苔
Frullania riojaneirensis,褶瓣耳叶苔
Frullania riparia,原瓣耳叶苔
Frullania sackawana,离瓣耳叶苔
Frullania schensiana,陕西耳叶苔
Frullania serrata,齿叶耳叶苔
Frullania sinensis,中华耳叶苔
Frullania sinosphaerantha,无脊耳叶苔
Frullania tagawana,钝瓣耳叶苔
Frullania taiheizana,台北耳叶苔
Frullania tamarisci,欧耳叶苔
Frullania tamarisci f. minshanensis,岷山欧耳叶苔
Frullania tamarisci subsp. obscura,高山欧耳叶苔
Frullania tamarisci subsp. tamarisci,欧耳叶苔(原亚种)
Frullania tamarisci var. elongatistipula,长叶欧耳叶苔
Frullania tamarisci var. tamarisci,欧耳叶苔(原变种)
Frullania tamarisci var. vietnamica,卷边欧耳叶苔
Frullania tamsuina,淡水耳叶苔
Frullania taradakensis,塔拉大克耳叶苔
Frullania ternatensis,卷茎耳叶苔
Frullania trichodes,油胞耳叶苔
Frullania tubercularis,瘤萼耳叶苔
Frullania usamiensis,本州耳叶苔
